Term	PMI score	Freq. in POS	Freq. in NEG	VAD original	VAD extended
cliftonville	7.593	137	0	0	0
#bookwizardchallenge	7.571	134	0	0	0
aureliano	7.357	108	0	0	0
venopian	7.097	83	0	0	0
aeturnus	6.928	70	0	0	0
sterne	6.885	67	0	0	1
oxt	6.870	66	0	0	0
windhelm	6.760	59	0	0	0
#elseworlds	6.664	108	1	0	0
whiterun	6.607	102	1	0	0
markarth	6.537	47	0	0	0
marquez	6.531	1001	20	0	0
girlstogirlsex	6.427	42	0	0	0
fortress	6.388	5249	126	1	1
angelis	6.277	36	0	0	0
horacio	6.263	72	1	0	0
#indianbank	6.249	71	1	0	0
homeade	6.221	34	0	0	0
riften	6.207	68	1	0	0
ggm	6.192	33	0	0	0
receptivity	6.162	65	1	0	1
vivifies	6.147	64	1	0	0
winterhold	6.132	31	0	0	0
linfield	6.100	30	0	0	0
falkreath	6.067	29	0	0	0
dodinsky	6.067	29	0	0	0
ashcans	6.067	29	0	0	0
macondo	6.033	57	1	0	0
jinsang	6.033	28	0	0	0
candlemass	6.022	85	2	0	0
bamburet	5.962	26	0	0	0
kichloo	5.864	48	1	0	0
buendia	5.801	45	1	0	0
pornographers	5.640	136	6	0	1
hrabal	5.610	56	2	0	0
cholera	5.610	151	7	1	1
picoult	5.603	131	6	0	0
schloss	5.528	34	1	0	0
thane	5.499	33	1	0	0
profoundest	5.438	31	1	0	1
bohumil	5.438	47	2	0	0
jor-el	5.407	30	1	0	0
#gabrielgarciamarquez	5.407	30	1	0	0
lethem	5.396	45	2	0	0
porous	5.374	59	3	1	1
moreau	5.293	82	5	0	0
companionable	5.284	232	16	0	1
deathlike	5.231	38	2	0	0
endling	5.192	24	1	0	0
zod	5.192	49	3	0	0
makarov	5.192	24	1	0	0
garcia	5.124	875	74	0	0
uniformity	5.108	45	3	1	1
doublethink	5.094	33	2	0	0
snowbird	5.017	41	3	0	0
autophile	5.001	30	2	0	0
#supergirl	4.985	182	17	0	0
balzac	4.985	60	5	0	0
bysshe	4.943	38	3	0	0
stendhal	4.863	26	2	0	0
whosoever	4.863	179	19	0	0
jarl	4.863	35	3	0	0
#recharge	4.863	26	2	0	0
